regression,score,random_state,embedding,sample_size,pearson_train,pearson_test,spearman_train,spearman_test,RMSE_train,RMSE_test,SDR_train,SDR_test
ridge,zsurf_score,0,antiberty,1500,0.769131,0.670634,0.763617,0.689661,0.0733238,0.0871215,0.693909,0.667651
ridge,solubility_score,0,antiberty,2000,0.857161,0.814514,0.85516,0.804425,0.157176,0.189093,0.824282,0.792776
ridge,zsurf_score,0,antiberty,2000,0.758271,0.683883,0.761236,0.699462,0.0735196,0.0856854,0.695958,0.660948
ridge,solubility_score,0,antiberty,3000,0.857755,0.832752,0.853894,0.820837,0.158295,0.180396,0.83324,0.810773
ridge,zsurf_score,0,antiberty,3000,0.754953,0.703034,0.755818,0.72029,0.0733851,0.0834808,0.705394,0.684395
ridge,solubility_score,0,antiberty,4000,0.856211,0.834239,0.851465,0.823238,0.159298,0.179669,0.838254,0.814986
ridge,zsurf_score,0,antiberty,4000,0.753683,0.709012,0.750221,0.724228,0.0735605,0.0827601,0.712594,0.692594
ridge,solubility_score,0,antiberty,6000,0.852857,0.836229,0.84792,0.824029,0.163359,0.178492,0.838982,0.827628
ridge,zsurf_score,0,antiberty,6000,0.748365,0.720376,0.748236,0.731949,0.0744416,0.0814121,0.71692,0.702196
ridge,solubility_score,0,antiberty,8000,0.84987,0.838487,0.84422,0.825836,0.165445,0.177372,0.839071,0.826434
ridge,zsurf_score,0,antiberty,8000,0.744132,0.728331,0.743998,0.737977,0.0750991,0.080422,0.729677,0.713123
ridge,solubility_score,42,onehot,20,0.951161,0.146181,0.95188,0.128429,0.176436,0.316312,0.331446,0.0584666
ridge,zsurf_score,42,onehot,20,0.953531,0.122309,0.98797,0.120513,0.0692571,0.114704,0.331903,0.0594004
ridge,solubility_score,42,onehot,50,0.999903,0.295638,0.999616,0.293651,0.00527582,0.300143,0.985043,0.265129
ridge,zsurf_score,42,onehot,50,0.998626,0.187614,0.998463,0.200483,0.00740575,0.113405,0.931498,0.227893
ridge,solubility_score,42,onehot,100,0.995103,0.430937,0.990159,0.415345,0.0424604,0.283337,0.893596,0.385563
ridge,zsurf_score,42,onehot,100,0.977653,0.244023,0.984194,0.268367,0.0284881,0.111336,0.734073,0.232496
ridge,solubility_score,42,onehot,200,1.0,0.492161,1.0,0.475742,6.90911e-06,0.276036,0.999988,0.571712
ridge,zsurf_score,42,onehot,200,0.962371,0.313362,0.969024,0.319661,0.0417771,0.108511,0.689078,0.321976
ridge,solubility_score,42,onehot,500,0.986895,0.59038,0.985906,0.569614,0.0627575,0.254439,0.87329,0.600706
ridge,zsurf_score,42,onehot,500,0.969857,0.449697,0.966427,0.470919,0.0332552,0.10283,0.799757,0.555935
ridge,solubility_score,42,onehot,638,0.992494,0.618099,0.991588,0.605976,0.0449666,0.250371,0.926915,0.733847
ridge,zsurf_score,42,onehot,638,0.97014,0.476404,0.962917,0.499319,0.0338236,0.101558,0.806784,0.604692
ridge,solubility_score,42,onehot,650,0.992528,0.617652,0.991705,0.606572,0.0448993,0.250599,0.927385,0.738167
ridge,zsurf_score,42,onehot,650,0.969699,0.481296,0.962415,0.507654,0.0340526,0.101275,0.807068,0.612236
ridge,solubility_score,42,onehot,800,0.985212,0.669151,0.984517,0.661374,0.0661038,0.234353,0.882299,0.72599
